"","V1","V2"
"597","1553088_a_at","BCL2L11"
"598","1553089_a_at","WFDC2"
"599","1553093_a_at","DEFB119"
"600","1553094_at","TAC4"
"601","1553096_s_at","BCL2L11"
"602","1553099_at","TIGD1"
"603","1553101_a_at","ALKBH5"
"604","1553102_a_at","CCDC69"
"605","1553103_at","NFX1"
"606","1553105_s_at","DSG2"
"607","1553106_at","C5orf24"
"608","1553107_s_at","C5orf24"
"609","1553108_at","C5orf24"
"610","1553111_a_at","KBTBD6"
"611","1553112_s_at","CDK8"
"612","1553113_s_at","CDK8"
"613","1553114_a_at","PTK6"
"614","1553115_at","NKD1"
"615","1553117_a_at","STK38"
"616","1553118_at","THEM4"
"617","1553120_at","CLSPN"
"618","1553122_s_at","RBAK"
"619","1553123_at","WDR62"
"620","1553125_x_at","WDR62"
"621","1553126_a_at","SLC39A12"
"622","1553127_a_at","RNF168"
"623","1553129_at","SVEP1"
"624","1553130_at","LOC652276"
"625","1553131_a_at","GATA4"
"626","1553132_a_at","TC2N"
"627","1553133_at","C9orf72"
"628","1553134_s_at","C9orf72"
"629","1553136_at","KCTD18"
"630","1553137_s_at","KLF11"
"631","1553138_a_at","ANKLE1"
"632","1553139_s_at","PLXNA3"
"633","1553140_at","PELO"
"634","1553141_at","LACC1"
"635","1553142_at","LACC1"
"636","1553145_at","TAPT1-AS1"
"637","1553146_at","C3orf30"
"638","1553147_at","RANBP3L"
"639","1553148_a_at","SNX13"
"640","1553150_at","KDM1B"
"641","1553151_at","ATP6V0D2"
"642","1553153_at","ATP6V0D2"
"643","1553155_x_at","ATP6V0D2"
"644","1553156_at","LHX4"
"645","1553157_at","LHX4"
"646","1553158_at","CEP19"
"647","1553159_at","DNAH11"
"648","1553162_x_at","PROSER3"
"649","1553163_at","ADPRHL1"
"650","1553165_at","SYNRG"
"651","1553166_at","CDH24"
"652","1553167_a_at","SEPSECS"
"653","1553168_at","GRIK5"
"654","1553169_at","LRRN4"
"655","1553171_x_at","LRRN4"
"656","1553172_at","ZNF777"
"657","1553174_at","JPH2"
"658","1553175_s_at","PDE5A"
"659","1553176_at","SH2D1B"
"660","1553177_at","SH2D1B"
"661","1553178_a_at","SSTR3"
"662","1553179_at","ADAMTS19"
"663","1553180_at","ADAMTS19"
"664","1553181_at","DDX31"
"665","1553183_at","UMODL1"
"666","1553185_at","RASEF"
"667","1553186_x_at","RASEF"
"668","1553188_s_at","PARD3B"
"669","1553190_s_at","PARD3B"
"670","1553191_at","DST"
"671","1553192_at","ZNF441"
"672","1553193_at","ZNF441"
"673","1553194_at","NEGR1"
"674","1553196_a_at","FCRL3"
"675","1553197_at","DCAF4L2"
"676","1553199_at","DCAF4L2"
"677","1553202_at","STOX1"
"678","1553204_at","C20orf166-AS1"
"679","1553205_at","C20orf166-AS1"
"680","1553207_at","ARL10"
"681","1553208_s_at","ARL10"
"682","1553209_at","RNFT2"
"683","1553211_at","ANKFN1"
"684","1553212_at","KRT78"
"685","1553213_a_at","KRT78"
"686","1553214_a_at","CCDC7"
"687","1553215_s_at","CCDC7"
"688","1553216_at","ZNF41"
"689","1553217_s_at","ZNF41"
"690","1553218_a_at","ZNF512"
"691","1553219_a_at","AMMECR1"
"692","1553220_at","FAM117B"
"693","1553221_at","ZNF583"
"694","1553222_at","OXER1"
"695","1553224_at","LUZP1"
"696","1553225_s_at","ZNF75D"
